freq,duration,isced11,age,sex,unit,geo,time,value,freq_label,duration_label,isced11_label,age_label,sex_label,unit_label,geo_label,time_label
A,TOTAL,TOTAL,Y15-34,T,PC,EL,2014,54.8,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Total,Percentage,Greece,2014
A,TOTAL,TOTAL,Y15-34,T,PC,EL,2015,57.6,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Total,Percentage,Greece,2015
A,TOTAL,TOTAL,Y15-34,T,PC,EL,2016,58.7,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Total,Percentage,Greece,2016
A,TOTAL,TOTAL,Y15-34,T,PC,EL,2017,60.4,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Total,Percentage,Greece,2017
A,TOTAL,TOTAL,Y15-34,T,PC,EL,2018,62.7,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Total,Percentage,Greece,2018
A,TOTAL,TOTAL,Y15-34,T,PC,EL,2019,64.7,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Total,Percentage,Greece,2019
A,TOTAL,TOTAL,Y15-34,T,PC,EL,2020,63.2,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Total,Percentage,Greece,2020
A,TOTAL,TOTAL,Y15-34,T,PC,EL,2021,63.2,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Total,Percentage,Greece,2021
A,TOTAL,TOTAL,Y15-34,T,PC,EL,2022,69.3,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Total,Percentage,Greece,2022
A,TOTAL,TOTAL,Y15-34,T,PC,EL,2023,70.9,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Total,Percentage,Greece,2023
A,TOTAL,TOTAL,Y15-34,T,PC,EL,2024,71.2,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Total,Percentage,Greece,2024
A,TOTAL,TOTAL,Y15-34,T,PC,EL,2025,71.6,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Total,Percentage,Greece,2025
A,TOTAL,TOTAL,Y15-34,M,PC,EL,2014,60.7,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Males,Percentage,Greece,2014
A,TOTAL,TOTAL,Y15-34,M,PC,EL,2015,63.7,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Males,Percentage,Greece,2015
A,TOTAL,TOTAL,Y15-34,M,PC,EL,2016,66.8,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Males,Percentage,Greece,2016
A,TOTAL,TOTAL,Y15-34,M,PC,EL,2017,68.9,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Males,Percentage,Greece,2017
A,TOTAL,TOTAL,Y15-34,M,PC,EL,2018,71.6,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Males,Percentage,Greece,2018
A,TOTAL,TOTAL,Y15-34,M,PC,EL,2019,72.2,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Males,Percentage,Greece,2019
A,TOTAL,TOTAL,Y15-34,M,PC,EL,2020,69.5,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Males,Percentage,Greece,2020
A,TOTAL,TOTAL,Y15-34,M,PC,EL,2021,70.4,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Males,Percentage,Greece,2021
A,TOTAL,TOTAL,Y15-34,M,PC,EL,2022,76.2,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Males,Percentage,Greece,2022
A,TOTAL,TOTAL,Y15-34,M,PC,EL,2023,77.6,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Males,Percentage,Greece,2023
A,TOTAL,TOTAL,Y15-34,M,PC,EL,2024,76.9,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Males,Percentage,Greece,2024
A,TOTAL,TOTAL,Y15-34,M,PC,EL,2025,76.5,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Males,Percentage,Greece,2025
A,TOTAL,TOTAL,Y15-34,F,PC,EL,2014,48.7,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Females,Percentage,Greece,2014
A,TOTAL,TOTAL,Y15-34,F,PC,EL,2015,51.1,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Females,Percentage,Greece,2015
A,TOTAL,TOTAL,Y15-34,F,PC,EL,2016,50.1,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Females,Percentage,Greece,2016
A,TOTAL,TOTAL,Y15-34,F,PC,EL,2017,51.6,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Females,Percentage,Greece,2017
A,TOTAL,TOTAL,Y15-34,F,PC,EL,2018,53.4,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Females,Percentage,Greece,2018
A,TOTAL,TOTAL,Y15-34,F,PC,EL,2019,56.9,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Females,Percentage,Greece,2019
A,TOTAL,TOTAL,Y15-34,F,PC,EL,2020,56.7,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Females,Percentage,Greece,2020
A,TOTAL,TOTAL,Y15-34,F,PC,EL,2021,55.0,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Females,Percentage,Greece,2021
A,TOTAL,TOTAL,Y15-34,F,PC,EL,2022,61.9,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Females,Percentage,Greece,2022
A,TOTAL,TOTAL,Y15-34,F,PC,EL,2023,63.6,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Females,Percentage,Greece,2023
A,TOTAL,TOTAL,Y15-34,F,PC,EL,2024,64.8,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Females,Percentage,Greece,2024
A,TOTAL,TOTAL,Y15-34,F,PC,EL,2025,65.8,Annual,Total,All ISCED 2011 levels,From 15 to 34 years,Females,Percentage,Greece,2025
A,TOTAL,TOTAL,Y18-34,T,PC,EL,2014,55.1,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Total,Percentage,Greece,2014
A,TOTAL,TOTAL,Y18-34,T,PC,EL,2015,57.9,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Total,Percentage,Greece,2015
A,TOTAL,TOTAL,Y18-34,T,PC,EL,2016,59.0,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Total,Percentage,Greece,2016
A,TOTAL,TOTAL,Y18-34,T,PC,EL,2017,60.7,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Total,Percentage,Greece,2017
A,TOTAL,TOTAL,Y18-34,T,PC,EL,2018,63.1,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Total,Percentage,Greece,2018
A,TOTAL,TOTAL,Y18-34,T,PC,EL,2019,65.1,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Total,Percentage,Greece,2019
A,TOTAL,TOTAL,Y18-34,T,PC,EL,2020,63.6,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Total,Percentage,Greece,2020
A,TOTAL,TOTAL,Y18-34,T,PC,EL,2021,63.3,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Total,Percentage,Greece,2021
A,TOTAL,TOTAL,Y18-34,T,PC,EL,2022,69.5,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Total,Percentage,Greece,2022
A,TOTAL,TOTAL,Y18-34,T,PC,EL,2023,71.0,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Total,Percentage,Greece,2023
A,TOTAL,TOTAL,Y18-34,T,PC,EL,2024,71.5,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Total,Percentage,Greece,2024
A,TOTAL,TOTAL,Y18-34,T,PC,EL,2025,71.6,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Total,Percentage,Greece,2025
A,TOTAL,TOTAL,Y18-34,M,PC,EL,2014,61.0,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Males,Percentage,Greece,2014
A,TOTAL,TOTAL,Y18-34,M,PC,EL,2015,64.0,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Males,Percentage,Greece,2015
A,TOTAL,TOTAL,Y18-34,M,PC,EL,2016,67.2,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Males,Percentage,Greece,2016
A,TOTAL,TOTAL,Y18-34,M,PC,EL,2017,69.2,Annual,Total,All ISCED 2011 levels,From 18 to 34 years,Males,Percentage,Greece,2017
